DATE,TOTAL BILLS,INVOICE RANGE,TOTAL TAXABLE AMOUNT,TOTAL TAX AMOUNT,Taxable Amount 0%,Taxable Amount 5%,Taxable Amount 12%,Taxable Amount 18%,TOTAL AMOUNT,CASH,CARD,OTHER MODES,AMOUNT RETURN,AMOUNT RETURN TO CREDIT,TOTAL ITEMS SOLD,TOTAL QTY,RETURNED ITEMS COUNT,RETURNED QTY
21-Feb-20,46,"A/1920/12964, A/1920/13008",0,0,60060,0,0,0,60060,3995,36830,20180,945,0,218,477,3,3
20-Feb-20,33,"A/1920/12932, A/1920/12963",0,0,19225,0,0,0,19225,9725,9475,2160,2135,0,117,159,1,1
19-Feb-20,26,"A/1920/12906, A/1920/12931",0,0,21140,0,0,0,21140,8710,13960,1230,2760,0,114,173,0,0
18-Feb-20,32,"A/1920/12874, A/1920/12905",0,0,23918,0,0,0,23918,9530,10705,4765,1082,0,114,150,0,0
17-Feb-20,44,"A/1920/12831, A/1920/12873",0,0,21650,0,0,0,21650,12295,8730,2840,2215,0,132,171,1,2
16-Feb-20,57,"A/1920/12774, A/1920/12830",0,0,48915,0,0,0,48915,31560,12570,7780,2995,0,248,349,0,0
15-Feb-20,49,"A/1920/12727, A/1920/12773",0,0,41444,0,0,0,41444,12500,15639,14820,1515,0,199,264,6,6
14-Feb-20,41,"A/1920/12685, A/1920/12726",0,0,51930,0,0,0,51930,23220,28095,2560,1945,0,157,222,0,0
13-Feb-20,25,"A/1920/12660, A/1920/12684",0,0,11885,0,0,0,11885,4405,2935,5820,1275,0,60,94,0,0
12-Feb-20,29,"A/1920/12631, A/1920/12659",0,0,22354,0,0,0,22354,7730,4809,11780,1965,0,102,153,0,0
11-Feb-20,44,"A/1920/12587, A/1920/12630",0,0,29564,0,0,0,29564,21505,9705,2690,4336,0,144,199,0,0
10-Feb-20,41,"A/1920/12546, A/1920/12586",0,0,26384,0,0,0,26384,13270,16505,210,3601,0,159,244,0,0
09-Feb-20,58,"A/1920/12488, A/1920/12545",0,0,51765,0,0,0,51765,19485,24430,12540,4690,0,251,301,0,0
08-Feb-20,59,"A/1920/12430, A/1920/12487",0,0,46607,0,0,0,46607,31085,16467,3980,4925,0,236,335,1,1
07-Feb-20,41,"A/1920/12389, A/1920/12429",0,0,23895,0,0,0,23895,11800,10505,5025,3435,0,152,219,0,0
06-Feb-20,33,"A/1920/12357, A/1920/12388R",0,0,22758,0,0,0,22758,11480,14090,750,3562,0,92,130,1,2
05-Feb-20,49,"A/1920/12310, A/1920/12356",0,0,37804,0,0,0,37804,12496,25669,1160,1521,0,200,268,2,2
