NAME,BRAND,UOM,CATEGORY,SUB CATEGORY,TAX CODE,QTY SOLD,NO. OF BILLS,TAXABLE AMOUNT,REVENUE,MRP,SP/WP/SPLP/OP,CP
Honey Farm Collection 500g,Prakruthivanam,1 pc,Branded Foods,Honey,5,487,436,92761.9,97400,200,200,147
Wheat Grass Powder 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,254,201,36285.71,38100,150,150,105
 Rock Salt 1kg,Arogya Rahasya,1 kg,Masala & Spices,Powder,0,2275,1413,136500,136500,60,60,45
Dhaniyalu Powder 100g,Prakruthivanam,1 pkt,Miscellaneous,Miscellaneous,5,90,67,3428.57,3600,40,40,31
Natural Sugar 1kg,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",5,1087,711,124228.57,130440,120,120,80
Ginger Powder - 50g,Prakruthivanam,1 grm,Miscellaneous,Miscellaneous,5,39,35,1485.71,1560,40,40,28
Jonna Flour 1kg,Prakruthivanam,1 kg,Grocery & Staples,Flours & Staples,5,120,97,9142.86,9600,80,80,60
Phenyl 1lt,Prakruthivanam,1 pc,Household,Home Linen,18,463,287,25504.24,30095,65,65,47.2
Timbaktu Organic Jonna Biscuit 150g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,18,394,317,21703.39,25610,65,65,48.75
Neem & Tulsi Soap-100gms-pvs,Prakruthivanam,1 pc,Miscellaneous,Miscellaneous,18,3024,1288,230644.07,272160,90,90,63
Timbaktu Organic Ragi Biscuit 150g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,18,388,317,21372.88,25220,65,65,48.75
Dry Dates Yellow - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,0,3,2,315,315,105,105,68
Safflower Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,44,37,28495.24,29920,680,680,542
Jeera 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,113,96,7533.33,7910,70,70,52
Korralu (Foxtail) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,3998,2778,456914.29,479760,120,120,92.4
Sprouted Ragi Powder 500g,Prakruthivanam,1 pc,Millet,Millet Flour,5,502,408,33466.67,35140,70,70,49.35
Jaggery 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grocery,0,2053,1229,225830,225830,110,110,85
Cardmom(Yalakulu) - 25g,Prakruthivanam,1 grm,Miscellaneous,Miscellaneous,5,227,182,21619.05,22700,100,100,75
Pacha Jonna Flour-500gms-pvs,Prakruthivanam,1 pc,Grocery & Staples,Flours & Staples,5,271,179,15485.71,16260,60,60,46
Coconut Oil 500ml,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,436,413,116266.67,122080,280,280,225
Tamarind - 500g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,134,91,11485.71,12060,90,90,72
Channa Dal 500g,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,75,66,6428.57,6750,90,90,67
